id;employee_id;first_name;last_name;gender;marital_status;birth_date;hire_date;employment_status;manager_id
1;62962;Nayeli;O'Keefe;62230;44361;80983;11898;75660;60113
2;40170;Michel;Goyette;63262;36201;12617;25834;71697;45464
3;15435;Lynn;Buckridge;51073;32002;36120;11173;16158;64123
4;41321;Kevon;Botsford;75289;21024;97958;83938;8020;783
5;27282;Laisha;Glover;12826;9330;48050;90233;71649;71090
6;65309;Laurence;Gaylord;84573;2909;34379;49609;48992;47489
7;37739;Cicero;Sawayn;37356;15436;7230;90426;52820;82484
8;54645;Emmanuelle;Walker;32513;52932;746;14194;54263;80529
9;94809;Kelli;Cassin;49171;44093;12793;13439;33970;1966
10;11750;Columbus;Herman;66828;95916;18581;73893;65341;53478
